SANGER_MODEL_ID,model_name,tissue,cancer_type,COSMIC_ID
SIDM00174,BB49-HNC,Head and Neck,Head and Neck Carcinoma,753532
SIDM00191,BB65-RCC,Kidney,Kidney Carcinoma,753533
SIDM00122,BT-549,Breast,Breast Carcinoma,905951
SIDM00132,BxPC-3,Pancreas,Pancreatic Carcinoma,906693
SIDM00212,CAS-1,Central Nervous System,Glioblastoma,910943
SIDM00143,COLO-668,Lung,Small Cell Lung Carcinoma,910692
SIDM00140,COLO-792,Skin,Melanoma,906814
SIDM00190,CP66-MEL,Skin,Melanoma,753546
SIDM00199,CS1,Bone,Chondrosarcoma,1290795
SIDM00209,D-423MG,Central Nervous System,Glioblastoma,946372
SIDM00207,D-542MG,Central Nervous System,Glioblastoma,753549
SIDM00206,D-566MG,Central Nervous System,Glioblastoma,946377
SIDM00203,EW-11,Bone,Ewing's Sarcoma,684062
SIDM00198,EW-16,Bone,Ewing's Sarcoma,949165
SIDM00202,EW-3,Bone,Ewing's Sarcoma,949161
SIDM00201,EW-7,Bone,Ewing's Sarcoma,949160
SIDM00136,HT-29,Large Intestine,Colorectal Carcinoma,905939
SIDM00127,JHU-022,Head and Neck,Oral Cavity Carcinoma,1240162
SIDM00157,KP-N-YS,Peripheral Nervous System,Neuroblastoma,946363
SIDM00184,LB373-MEL-D,Skin,Melanoma,753581
SIDM00182,LB771-HNC,Head and Neck,Head and Neck Carcinoma,753583
SIDM00180,LB996-RCC,Kidney,Kidney Carcinoma,753585
SIDM00146,MDA-MB-231,Breast,Breast Carcinoma,905960
SIDM00179,MZ2-MEL,Skin,Melanoma,971777
SIDM00137,NCI-H3122,Lung,Non-Small Cell Lung Carcinoma,1240190
SIDM00117,NCI-H322M,Lung,Non-Small Cell Lung Carcinoma,905967
SIDM00116,NCI-H522,Lung,Non-Small Cell Lung Carcinoma,905944
SIDM00105,OVCAR-3,Ovary,Ovarian Carcinoma,905933
SIDM00115,PCI-6A,Head and Neck,Head and Neck Carcinoma,1240206
SIDM00113,TK10,Kidney,Kidney Carcinoma,905980
SIDM00111,U251,Central Nervous System,Glioma,905983
SIDM00108,UACC-257,Skin,Melanoma,905977
SIDM00172,BB30-HNC,Head and Neck,Head and Neck Carcinoma,753531
SIDM00176,CHSA8926,Bone,Chondrosarcoma,1303912
SIDM00175,CP50-MEL-B,Skin,Melanoma,753545
SIDM00283,CTB-1,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,949088
SIDM00208,D-502MG,Central Nervous System,Glioblastoma,946373
SIDM00278,EC-GI-10,Esophagus,Esophageal Squamous Cell Carcinoma,753555
SIDM00279,ECC12,Stomach,Gastric Carcinoma,906849
SIDM00266,ES1,Bone,Ewing's Sarcoma,949158
SIDM00264,ES4,Bone,Ewing's Sarcoma,949156
SIDM00262,ES6,Bone,Ewing's Sarcoma,949157
SIDM00269,ES7,Bone,Ewing's Sarcoma,684059
SIDM00261,ES8,Bone,Ewing's Sarcoma,949155
SIDM00276,ETK-1,Biliary Tract,Biliary Tract Carcinoma,906861
SIDM00197,EW-18,Bone,Ewing's Sarcoma,949164
SIDM00196,EW-22,Bone,Ewing's Sarcoma,949167
SIDM00195,EW-24,Bone,Ewing's Sarcoma,949168
SIDM00277,EoL-1-cell,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,906856
SIDM00213,FTC-133,Thyroid,Thyroid Gland Carcinoma,906864
SIDM00274,GCIY,Stomach,Gastric Carcinoma,906869
SIDM00227,GI-ME-N,Peripheral Nervous System,Neuroblastoma,906872
SIDM00188,HA7-RCC,Kidney,Kidney Carcinoma,753558
SIDM00134,HOP-92,Lung,Non-Small Cell Lung Carcinoma,905973
SIDM00223,IST-SL1,Lung,Small Cell Lung Carcinoma,753564
SIDM00186,LB2241-RCC,Kidney,Kidney Carcinoma,753578
SIDM00185,LB2518-MEL,Skin,Melanoma,753579
SIDM00183,LB647-SCLC,Lung,Small Cell Lung Carcinoma,753582
SIDM00181,LB831-BLC,Bladder,Bladder Carcinoma,753584
SIDM00149,LOXIMVI,Skin,Melanoma,905974
SIDM00260,MKN28,Stomach,Gastric Carcinoma,908139
SIDM00247,MKN45,Stomach,Gastric Carcinoma,925340
SIDM00222,MPP-89,Lung,Mesothelioma,908150
SIDM00245,MS-1,Lung,Small Cell Lung Carcinoma,753594
SIDM00255,NB17,Peripheral Nervous System,Neuroblastoma,949175
SIDM00254,NB5,Peripheral Nervous System,Neuroblastoma,949176
SIDM00156,NB7,Peripheral Nervous System,Neuroblastoma,949174
SIDM00139,NCI-H226,Lung,Mesothelioma,905941
SIDM00138,NCI-H23,Lung,Non-Small Cell Lung Carcinoma,905942
SIDM00243,NEC8,Testis,Other Solid Cancers,910942
SIDM00239,OS-RC-2,Kidney,Kidney Carcinoma,909250
SIDM00237,PC-14,Lung,Non-Small Cell Lung Carcinoma,753608
SIDM00270,PCI-15A,Head and Neck,Head and Neck Carcinoma,1240204
SIDM00235,RCC10RGB,Kidney,Kidney Carcinoma,909974
SIDM00218,RO82-W-1,Thyroid,Thyroid Gland Carcinoma,930083
SIDM00193,SNU-81,Large Intestine,Colorectal Carcinoma,1660036
SIDM00267,TGBC24TKB,Biliary Tract,Biliary Tract Carcinoma,910695
SIDM00233,ATN-1,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,910687
SIDM00287,BALL-1,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,910705
SIDM00286,CHP-126,Peripheral Nervous System,Neuroblastoma,910567
SIDM00285,CHP-134,Peripheral Nervous System,Neuroblastoma,910941
SIDM00284,COLO-679,Skin,Melanoma,906818
SIDM00281,DJM-1,Skin,Other Solid Cancers,906841
SIDM00263,ES5,Bone,Ewing's Sarcoma,684057
SIDM00273,GI-1,Central Nervous System,Glioblastoma,906871
SIDM00289,HAL-01,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,949153
SIDM00290,HGC-27,Stomach,Gastric Carcinoma,907055
SIDM00291,HMV-II,Skin,Melanoma,907058
SIDM00306,IA-LM,Lung,Non-Small Cell Lung Carcinoma,910779
SIDM00225,IST-MEL1,Skin,Melanoma,907172
SIDM00230,IST-SL2,Lung,Small Cell Lung Carcinoma,753565
SIDM00304,JHOS-3,Ovary,Ovarian Carcinoma,1480358
SIDM00302,KGN,Ovary,Other Solid Cancers,924186
SIDM00301,KP-4,Pancreas,Pancreatic Carcinoma,753572
SIDM00329,L-540,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,907323
SIDM00346,LAMA-84,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,907783
SIDM00330,LAN-6,Peripheral Nervous System,Neuroblastoma,949170
SIDM00341,LOU-NH91,Lung,Squamous Cell Lung Carcinoma,1298226
SIDM00342,LOUCY,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,907789
SIDM00294,LU-135,Lung,Small Cell Lung Carcinoma,713899
SIDM00292,LU-165,Lung,Small Cell Lung Carcinoma,753589
SIDM00272,MDA-MB-453,Breast,Breast Carcinoma,908122
SIDM00337,MEL-HO,Skin,Melanoma,908124
SIDM00336,MEL-JUSO,Skin,Melanoma,908125
SIDM00335,MFE-280,Endometrium,Endometrial Carcinoma,908129
SIDM00299,MFH-ino,Soft Tissue,Other Sarcomas,925343
SIDM00271,MKN1,Stomach,Gastric Carcinoma,908138
SIDM00259,NB10,Peripheral Nervous System,Neuroblastoma,949171
SIDM00231,NCC010,Kidney,Kidney Carcinoma,1509073
SIDM00232,NCC021,Kidney,Kidney Carcinoma,1509074
SIDM00242,NOS-1,Bone,Osteosarcoma,925345
SIDM00240,OMC-1,Cervix,Cervical Carcinoma,949154
SIDM00348,TE-11,Esophagus,Esophageal Squamous Cell Carcinoma,946354
SIDM00250,TE-4,Esophagus,Esophageal Squamous Cell Carcinoma,1503371
SIDM00347,TE-5,Esophagus,Esophageal Squamous Cell Carcinoma,735784
SIDM00328,TE-6,Esophagus,Esophageal Squamous Cell Carcinoma,946355
SIDM00326,TE-8,Esophagus,Esophageal Squamous Cell Carcinoma,753623
SIDM00325,TE-9,Esophagus,Esophageal Squamous Cell Carcinoma,946353
SIDM00324,TGW,Peripheral Nervous System,Neuroblastoma,910780
SIDM00323,TK,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1331045
SIDM00319,VMRC-MELG,Skin,Melanoma,930301
SIDM00318,VMRC-RCW,Kidney,Kidney Carcinoma,1240224
SIDM00317,VMRC-RCZ,Kidney,Kidney Carcinoma,909781
SIDM00316,YH-13,Central Nervous System,Glioblastoma,909905
SIDM00303,JHOS-4,Ovary,Ovarian Carcinoma,1480359
SIDM00371,SUIT-2,Pancreas,Pancreatic Carcinoma,1240219
SIDM00352,RMG-I,Ovary,Ovarian Carcinoma,909699
SIDM00411,YAPC,Pancreas,Pancreatic Carcinoma,909904
SIDM00349,TE-10,Esophagus,Esophageal Squamous Cell Carcinoma,753622
SIDM00308,KU812,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia,907311
SIDM00402,RT-112,Bladder,Bladder Carcinoma,909704
SIDM00297,LC-2-ad,Lung,Non-Small Cell Lung Carcinoma,907786
SIDM00050,CHSA0108,Bone,Chondrosarcoma,1290768
SIDM00119,EKVX,Lung,Non-Small Cell Lung Carcinoma,905970
SIDM00305,JHOS-2,Ovary,Ovarian Carcinoma,1479995
SIDM00313,L-1236,Haematopoietic and Lymphoid,Hodgkin's Lymphoma,1330935
SIDM00339,LXF-289,Lung,Non-Small Cell Lung Carcinoma,753592
SIDM00332,MFM-223,Breast,Breast Carcinoma,910948
SIDM00362,P32-ISH,Haematopoietic and Lymphoid,Burkitt's Lymphoma,1330987
SIDM00360,QGP-1,Pancreas,Other Solid Cancers,1298534
SIDM00359,RCM-1,Large Intestine,Colorectal Carcinoma,909263
SIDM00358,RERF-GC-1B,Stomach,Gastric Carcinoma,1240209
SIDM00356,RERF-LC-KJ,Lung,Non-Small Cell Lung Carcinoma,1298537
SIDM00354,RERF-LC-Sq1,Lung,Squamous Cell Lung Carcinoma,1298538
SIDM00353,RKN,Soft Tissue,Other Sarcomas,1298539
SIDM00415,ROS-50,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1331025
SIDM00403,RPMI-8402,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,909702
SIDM00401,RVH-421,Skin,Melanoma,909706
SIDM00351,SAS,Head and Neck,Oral Cavity Carcinoma,909708
SIDM00350,SAT,Head and Neck,Head and Neck Carcinoma,1299050
SIDM00365,SBC-1,Lung,Small Cell Lung Carcinoma,713885
SIDM00384,SCC-3,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,910930
SIDM00383,SCH,Stomach,Gastric Carcinoma,909711
SIDM00394,SISO,Cervix,Cervical Carcinoma,1240212
SIDM00393,SK-GT-2,Stomach,Gastric Carcinoma,1503364
SIDM00392,SK-MEL-30,Skin,Melanoma,909726
SIDM00379,SK-MG-1,Central Nervous System,Glioma,909729
SIDM00391,SK-MM-2,Haematopoietic and Lymphoid,Plasma Cell Myeloma,753612
SIDM00381,SKG-IIIa,Cervix,Cervical Carcinoma,930298
SIDM00380,SKM-1,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,909722
SIDM00375,SKN-3,Head and Neck,Head and Neck Carcinoma,1299059
SIDM00377,SKN,Uterus,Other Sarcomas,1240215
SIDM00374,SLVL,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1331032
SIDM00405,SU-DHL-4,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1331035
SIDM00322,T-T,Esophagus,Esophageal Squamous Cell Carcinoma,1299064
SIDM00418,TT2609-C02,Thyroid,Thyroid Gland Carcinoma,1240223
SIDM00413,WSU-DLCL2,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1331050
SIDM00315,YKG-1,Central Nervous System,Glioblastoma,687592
SIDM00483,SK-GT-4,Esophagus,Esophageal Carcinoma,1503365
SIDM00458,OCI-M1,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,1330985
SIDM00469,PSN1,Pancreas,Pancreatic Carcinoma,910546
SIDM00420,SW1710,Bladder,Bladder Carcinoma,909749
SIDM00421,SUP-M2,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma,1331040
SIDM00479,OE19,Esophagus,Esophageal Carcinoma,910079
SIDM00424,U-698-M,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,909777
SIDM00491,ASH-3,Thyroid,Thyroid Gland Carcinoma,1290722
SIDM00485,BICR22,Head and Neck,Oral Cavity Carcinoma,1240121
SIDM00490,Becker,Central Nervous System,Glioma,906746
SIDM00489,Ca9-22,Head and Neck,Oral Cavity Carcinoma,753538
SIDM00488,CaR-1,Large Intestine,Colorectal Carcinoma,924108
SIDM00386,MHH-ES-1,Bone,Ewing's Sarcoma,908134
SIDM00442,ML-1,Thyroid,Thyroid Gland Carcinoma,1240178
SIDM00441,ML-2,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,908141
SIDM00428,NB4,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,1323913
SIDM00443,NU-DUL-1,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1330982
SIDM00481,OAW-28,Ovary,Ovarian Carcinoma,946360
SIDM00446,OCI-AML2,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,910947
SIDM00462,OCI-AML3,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,1290455
SIDM00460,OCI-LY-19,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1330984
SIDM00478,OE21,Esophagus,Esophageal Squamous Cell Carcinoma,1298359
SIDM00477,OE33,Esophagus,Esophageal Carcinoma,910549
SIDM00457,OPM-2,Haematopoietic and Lymphoid,Plasma Cell Myeloma,909249
SIDM00475,OV-56,Ovary,Ovarian Carcinoma,1480362
SIDM00474,OV-7,Ovary,Ovarian Carcinoma,1480360
SIDM00466,OVKATE,Ovary,Ovarian Carcinoma,1240199
SIDM00465,OVMIU,Ovary,Ovarian Carcinoma,1240200
SIDM00463,P12-ICHIKAWA,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,909251
SIDM00453,PA-TU-8988T,Pancreas,Pancreatic Carcinoma,1240201
SIDM00472,PEO1,Ovary,Ovarian Carcinoma,1480372
SIDM00451,PF-382,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia,909260
SIDM00450,PL-21,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,1330991
SIDM00467,QIMR-WIL,Haematopoietic and Lymphoid,Acute Myeloid Leukemia,910545
SIDM00448,RC-K8,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1330995
SIDM00427,RH-1,Bone,Ewing's Sarcoma,971773
SIDM00395,SIMA,Peripheral Nervous System,Neuroblastoma,753620
SIDM00390,SU-DHL-1,Haematopoietic and Lymphoid,T-Cell Non-Hodgkin's Lymphoma,909742
SIDM00423,SU-DHL-8,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1331038
SIDM00419,TC-71,Bone,Ewing's Sarcoma,1240221
SIDM00369,TE-1,Esophagus,Esophageal Squamous Cell Carcinoma,753621
SIDM00484,TT,Thyroid,Thyroid Gland Carcinoma,930299
SIDM00416,VAL,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,1331048
SIDM00410,YT,Haematopoietic and Lymphoid,Other Blood Cancers,946358
SIDM00495,A3-KAW,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma,910935
SIDM00502,A4-Fuk,Haematopoietic and Lymphoid,B-Lymphoblastic Leukemia,910934
