SANGER_MODEL_ID,DRUG_NAME,auc_hat,tl_norm,tl_pc1,tl_pc2,model_name,tissue,cancer_type
SIDM00124,GSK343,1.0245949029922485,3.3886752128601074,-0.6359992623329163,0.5884554982185364,A498,Kidney,Kidney Carcinoma
SIDM00121,GSK-LSD1-2HCl ,0.9846525192260742,3.258676290512085,-0.028875986114144325,0.5157063603401184,CCRF-CEM,Haematopoietic and Lymphoid,T-Lymphoblastic Leukemia
SIDM00482,IAP_5620,1.0334327220916748,3.391322135925293,0.5005024671554565,0.5231097936630249,RPMI-8866,Haematopoietic and Lymphoid,Chronic Myelogenous Leukemia
SIDM00955,PRT062607,0.9011172652244568,3.080000400543213,0.30181100964546204,-0.010651206597685814,COLO-783,Skin,Melanoma
SIDM01229,Fludarabine,0.9011469483375549,2.9872260093688965,0.36753568053245544,0.29399457573890686,BE2-M17,Peripheral Nervous System,Neuroblastoma
SIDM01172,Ribociclib,0.9687620997428894,3.1091320514678955,-0.17754513025283813,0.44102585315704346,THP-1,Haematopoietic and Lymphoid,Acute Myeloid Leukemia
SIDM00279,SCH772984,0.9255442023277283,3.4707257747650146,1.2607544660568237,0.19476160407066345,ECC12,Stomach,Gastric Carcinoma
SIDM00661,CCT007093,0.9936497211456299,3.5410702228546143,0.862798810005188,0.7954100370407104,HT,Haematopoietic and Lymphoid,B-Cell Non-Hodgkin's Lymphoma
SIDM00795,ERK_6604,0.4915757477283478,3.042903184890747,-1.6013327836990356,-0.5449204444885254,A375,Skin,Melanoma
SIDM00196,Trametinib,1.0548831224441528,5.163224697113037,2.749246120452881,0.6450719237327576,EW-22,Bone,Ewing's Sarcoma
SIDM00751,Cediranib,0.8460311889648438,3.481245279312134,1.4128161668777466,0.3555631637573242,NCI-H1563,Lung,Non-Small Cell Lung Carcinoma
SIDM00505,Oxaliplatin,0.8491699695587158,3.1121976375579834,-0.9351539611816406,-0.13800455629825592,MIA-PaCa-2,Pancreas,Pancreatic Carcinoma
SIDM00548,YK-4-279,0.5167965888977051,2.9169297218322754,-0.037079114466905594,-0.9990186095237732,LK-2,Lung,Squamous Cell Lung Carcinoma
SIDM00729,Mitoxantrone,0.7610398530960083,2.849435567855835,0.2512219548225403,-0.3661223351955414,NCI-H2228,Lung,Non-Small Cell Lung Carcinoma
SIDM00745,Podophyllotoxin bromide,0.9099970459938049,3.7545526027679443,1.936894178390503,-0.257588654756546,NCI-H1650,Lung,Non-Small Cell Lung Carcinoma
SIDM00976,LMB_AB2,0.8858280777931213,2.7582826614379883,-0.2092769742012024,0.2530050277709961,WM1552C,Skin,Melanoma
SIDM01018,765771,0.8484026789665222,2.7585084438323975,-0.43527939915657043,0.2111305296421051,KM-H2,Haematopoietic and Lymphoid,Hodgkin's Lymphoma
SIDM01183,ERK_2440,0.7960646152496338,3.0274159908294678,0.506551206111908,-0.010790029540657997,UMC-11,Lung,Other Solid Cancers
SIDM00898,776928,0.9259556531906128,3.192391872406006,0.07539811730384827,0.46140429377555847,AU565,Breast,Breast Carcinoma
